,id,ms_subclass,ms_zoning,lot_area,lot_shape,land_contour,utilities,lot_config,land_slope,neighborhood,condition_1,condition_2,bldg_type,house_style,overall_qual,overall_cond,roof_style,roof_matl,exterior_1st,exterior_2nd,mas_vnr_type,mas_vnr_area,exter_qual,exter_cond,foundation,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_type_2,heating,central_air,bedroom_abvgr,kitchen_abvgr,kitchen_qual,totrms_abvgrd,functional,fireplaces,garage_finish,garage_cars,garage_area,garage_qual,garage_cond,paved_drive,wood_deck_sf,saleprice,total_bldg_sqft,bldg_age,total_baths,total_porch
576,1548,30,RM,5890.0,Reg,Lvl,AllPub,Corner,Gtl,IDOTRR,Norm,Norm,1Fam,1Story,6,8,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,Gd,Gd,BrkTil,TA,Av,ALQ,Unf,GasA,1,2,1,TA,5,Typ,0,Unf,1,432.0,TA,TA,Y,0.0,120500.0,1632.0,78,1,96.0
577,841,20,RL,10859.0,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,TA,No,Unf,Unf,GasA,1,3,1,TA,6,Typ,0,Unf,2,672.0,TA,TA,Y,392.0,145000.0,2194.0,15,1,64.0
578,1621,120,RL,5330.0,Reg,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,Gable,CompShg,CemntBd,CmentBd,None,0.0,Gd,TA,PConc,TA,Av,GLQ,Unf,GasA,1,2,1,Ex,6,Typ,0,RFn,2,499.0,TA,TA,Y,96.0,251000.0,3146.0,7,3,48.0
582,455,120,RL,10307.0,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,7,5,Gable,CompShg,VinylSd,VinylSd,Stone,176.0,Gd,TA,PConc,TA,No,GLQ,Unf,GasA,1,2,1,Gd,6,Typ,1,RFn,2,484.0,TA,TA,Y,192.0,212500.0,2708.0,2,3,26.0
583,2906,120,RM,4500.0,Reg,Lvl,AllPub,FR2,Gtl,Mitchel,Norm,Norm,Twnhs,1Story,6,5,Hip,CompShg,VinylSd,VinylSd,BrkFace,116.0,TA,TA,PConc,TA,No,GLQ,Unf,GasA,1,2,1,TA,5,Typ,0,Unf,2,402.0,TA,TA,Y,0.0,164000.0,2432.0,8,3,125.0
584,2878,50,RM,9060.0,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Fin,6,5,Gable,CompShg,MetalSd,MetalSd,BrkFace,327.0,TA,TA,CBlock,TA,No,Unf,Unf,GasA,1,4,1,Gd,6,Typ,0,Unf,1,384.0,TA,TA,Y,0.0,139000.0,2605.0,49,2,21.0
585,1173,160,FV,2160.0,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,7,5,Gable,CompShg,MetalSd,MetalSd,BrkFace,212.0,Gd,TA,PConc,TA,No,BLQ,Unf,GasA,1,2,1,Gd,4,Typ,0,Unf,2,462.0,TA,TA,Y,0.0,160000.0,1852.0,9,3,48.0
586,985,85,RL,7669.0,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,SFoyer,5,6,Gable,CompShg,HdBoard,Wd Shng,None,0.0,TA,TA,PConc,TA,Av,GLQ,LwQ,GasA,1,2,1,TA,5,Typ,1,Unf,2,698.0,TA,TA,Y,100.0,149000.0,1711.0,17,2,32.0
587,975,20,RL,9858.0,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1Story,5,6,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,No,BLQ,Unf,GasA,1,3,1,TA,5,Typ,0,RFn,1,288.0,TA,TA,Y,33.0,130000.0,1738.0,41,2,0.0
588,202,70,RM,10300.0,IR1,Bnk,AllPub,Inside,Gtl,OldTown,RRAn,Feedr,1Fam,2Story,7,6,Gable,CompShg,Stucco,Stucco,None,0.0,TA,TA,BrkTil,TA,No,Unf,Unf,GasA,1,3,1,TA,9,Typ,0,Unf,2,480.0,TA,TA,Y,12.0,140000.0,2286.0,89,2,75.0
589,528,20,FV,8125.0,Reg,Lvl,AllPub,Corner,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,Hip,CompShg,VinylSd,VinylSd,BrkFace,288.0,Gd,TA,PConc,TA,No,Unf,Unf,GasA,1,3,1,Gd,8,Typ,1,Fin,2,517.0,TA,TA,Y,0.0,264500.0,3672.0,1,2,175.0
590,2579,20,RL,14850.0,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,No,Rec,Unf,GasA,1,2,1,TA,6,Typ,1,Fin,1,299.0,TA,TA,Y,268.0,141000.0,2184.0,49,2,122.0
592,591,20,RL,9650.0,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,5,Gable,CompShg,Plywood,Plywood,BrkFace,360.0,TA,TA,CBlock,TA,No,ALQ,Unf,GasA,1,2,1,TA,6,Typ,1,RFn,2,630.0,TA,TA,Y,0.0,167900.0,2684.0,32,2,16.0
593,1897,20,RL,14585.0,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,85.0,TA,TA,CBlock,TA,No,BLQ,Rec,GasA,1,3,1,Gd,7,Typ,2,Unf,2,572.0,TA,TA,Y,216.0,181900.0,2573.0,47,1,110.0
594,70,20,FV,9000.0,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,Gable,CompShg,VinylSd,VinylSd,Stone,36.0,Gd,TA,PConc,TA,Av,GLQ,Unf,GasA,1,3,1,Gd,7,Typ,0,RFn,2,750.0,TA,TA,Y,144.0,262500.0,3132.0,2,3,168.0
595,590,60,RL,13774.0,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,2Story,7,7,Hip,CompShg,HdBoard,HdBoard,BrkFace,283.0,TA,Gd,PConc,TA,No,GLQ,Unf,GasA,1,4,1,Gd,8,Typ,2,RFn,2,520.0,TA,TA,Y,321.0,230000.0,3196.0,32,2,228.0
597,1714,20,RL,9254.0,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,210.0,Gd,TA,PConc,TA,No,GLQ,Unf,GasA,1,3,1,Gd,7,Typ,0,RFn,2,554.0,TA,TA,Y,168.0,232698.0,3442.0,2,3,27.0
598,829,20,RL,10324.0,IR1,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,140.0,Gd,TA,PConc,TA,Av,GLQ,Unf,GasA,1,2,1,Gd,5,Typ,0,RFn,3,810.0,TA,TA,Y,168.0,221800.0,2508.0,1,3,92.0
599,1397,50,RL,8375.0,Reg,Lvl,AllPub,Corner,Gtl,Sawyer,Norm,Norm,1Fam,1.5Fin,5,7,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,BrkTil,TA,No,ALQ,Unf,GasA,1,2,1,Gd,6,Min1,0,Unf,3,627.0,TA,TA,N,0.0,152400.0,1926.0,67,2,0.0
600,877,20,RL,9750.0,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,171.0,Gd,TA,PConc,TA,No,Unf,Unf,GasA,1,3,1,Gd,6,Typ,1,Unf,2,451.0,TA,TA,Y,74.0,213000.0,3260.0,9,2,234.0
601,2477,60,RL,7632.0,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,2Story,7,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,96.0,Gd,TA,PConc,TA,No,Unf,Unf,GasA,1,3,1,Gd,7,Typ,0,RFn,2,449.0,TA,TA,Y,100.0,184900.0,2369.0,1,2,77.0
602,2871,190,RL,15750.0,Reg,Lvl,AllPub,Corner,Gtl,Crawfor,Norm,Norm,2fmCon,1Story,5,5,Hip,CompShg,MetalSd,MetalSd,BrkFace,56.0,TA,TA,CBlock,TA,Mn,BLQ,Unf,GasA,1,2,1,TA,5,Typ,2,Unf,1,375.0,TA,TA,Y,0.0,157000.0,2501.0,53,2,0.0
603,2489,20,RL,9240.0,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,Hip,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,No,BLQ,Unf,GasA,1,2,1,TA,6,Min1,1,Unf,2,576.0,TA,TA,Y,161.0,144000.0,2075.0,44,1,0.0
604,1655,20,RL,10400.0,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,5,Gable,CompShg,MetalSd,MetalSd,BrkFace,253.0,TA,TA,CBlock,TA,No,GLQ,Unf,GasA,1,2,1,TA,5,Typ,1,RFn,2,478.0,TA,TA,Y,240.0,192350.0,2612.0,28,3,141.0
605,1891,20,RL,8800.0,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,7,6,Hip,CompShg,HdBoard,Plywood,BrkFace,202.0,TA,TA,CBlock,TA,No,BLQ,Unf,GasA,1,3,1,TA,6,Typ,1,RFn,2,440.0,TA,TA,Y,0.0,163500.0,2374.0,41,2,0.0
606,1419,60,RL,11839.0,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,2Story,7,5,Hip,CompShg,HdBoard,HdBoard,BrkFace,99.0,TA,TA,PConc,TA,No,GLQ,Unf,GasA,1,4,1,Gd,10,Typ,1,Unf,2,514.0,TA,TA,Y,192.0,262280.0,3804.0,18,3,121.0
607,1473,20,RL,9135.0,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,113.0,Gd,TA,PConc,TA,Av,GLQ,Unf,GasA,1,3,1,Gd,7,Typ,0,RFn,2,532.0,TA,TA,Y,192.0,214000.0,3072.0,6,3,74.0
608,2868,20,RL,14115.0,IR1,Lvl,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,1Story,6,7,Gable,CompShg,Stone,Stone,None,0.0,TA,TA,PConc,TA,No,ALQ,GLQ,GasA,1,2,1,Ex,6,Typ,1,Fin,2,470.0,TA,TA,Y,0.0,230000.0,2884.0,50,1,280.0
609,1695,60,RL,14154.0,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,7,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,350.0,Gd,TA,PConc,Gd,No,Unf,Unf,GasA,1,3,1,Gd,9,Typ,1,RFn,3,947.0,TA,TA,Y,192.0,280000.0,3235.0,1,2,62.0
610,2244,20,C (all),6565.0,Reg,Lvl,AllPub,Corner,Gtl,IDOTRR,Norm,Norm,1Fam,1Story,4,6,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,TA,No,GLQ,Unf,GasA,1,3,1,TA,6,Typ,0,Unf,2,720.0,TA,TA,Y,0.0,140000.0,2146.0,50,2,444.0
611,169,60,RL,7700.0,Reg,Lvl,AllPub,Inside,Gtl,NAmes,PosN,Norm,1Fam,2Story,6,5,Gable,CompShg,MetalSd,MetalSd,BrkFace,351.0,TA,TA,CBlock,TA,No,Unf,Unf,GasA,1,4,1,TA,7,Typ,1,Unf,2,442.0,TA,TA,Y,0.0,155000.0,2595.0,44,1,340.0
613,247,60,RL,12361.0,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,2Story,6,7,Gable,CompShg,VinylSd,VinylSd,BrkFace,85.0,Gd,Gd,PConc,TA,No,GLQ,Unf,GasA,1,3,1,Gd,8,Typ,1,RFn,4,1017.0,TA,TA,Y,450.0,218000.0,2748.0,17,3,92.0
614,2137,80,RL,9720.0,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,SLvl,5,7,Gable,CompShg,Plywood,VinylSd,BrkFace,51.0,TA,TA,CBlock,Ex,Av,ALQ,Unf,GasA,1,3,1,TA,6,Typ,1,Unf,2,576.0,TA,TA,Y,0.0,160000.0,2004.0,30,2,0.0
615,1794,20,FV,8640.0,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,TA,No,GLQ,Unf,GasA,1,3,1,Gd,6,Typ,0,RFn,2,598.0,TA,TA,Y,0.0,208900.0,2676.0,0,2,141.0
617,1164,160,FV,3180.0,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,TwnhsE,2Story,7,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,TA,No,Unf,Unf,GasA,1,2,1,Gd,5,Typ,0,Unf,2,540.0,TA,TA,Y,0.0,146000.0,2081.0,1,2,102.0
618,1179,120,RL,14963.0,IR2,Lvl,AllPub,Inside,Gtl,Veenker,Norm,Norm,TwnhsE,1Story,8,5,Gable,CompShg,BrkFace,BrkFace,None,0.0,Gd,TA,PConc,TA,No,GLQ,Unf,GasA,1,1,1,Ex,4,Typ,2,Fin,2,500.0,TA,TA,Y,120.0,245500.0,2548.0,12,2,254.0
619,1340,45,RM,5000.0,Reg,Bnk,AllPub,Inside,Mod,BrkSide,Norm,Norm,1Fam,1.5Unf,6,7,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,No,Unf,Unf,GasA,1,3,1,TA,6,Typ,0,Unf,1,160.0,Fa,TA,Y,0.0,113000.0,2005.0,82,1,101.0
620,436,20,RL,16870.0,IR1,Lvl,AllPub,FR3,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,Hip,CompShg,VinylSd,VinylSd,BrkFace,238.0,Gd,TA,PConc,TA,Gd,GLQ,Unf,GasA,1,3,1,Gd,7,Typ,2,Fin,3,932.0,TA,TA,Y,99.0,296000.0,3564.0,5,3,82.0
624,2834,50,RL,6956.0,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,4,7,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,TA,Mn,Unf,Unf,GasA,1,3,1,TA,5,Typ,0,Unf,1,265.0,TA,Po,Y,0.0,97900.0,1560.0,58,1,0.0
625,517,20,FV,7862.0,IR1,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,6,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,TA,No,GLQ,Unf,GasA,1,2,1,Gd,4,Typ,0,Fin,2,676.0,TA,TA,Y,0.0,208300.0,2436.0,0,2,102.0
626,1566,60,RL,11050.0,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,2Story,7,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,TA,Mn,Unf,Unf,GasA,1,3,1,Gd,8,Typ,1,Unf,3,816.0,TA,TA,Y,318.0,213000.0,2730.0,12,2,32.0
627,1439,60,RL,8924.0,IR1,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,TA,Av,Unf,Unf,GasA,1,3,1,Gd,8,Typ,0,Fin,2,527.0,TA,TA,Y,120.0,188000.0,2604.0,10,2,155.0
628,2577,20,RL,9610.0,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Feedr,Norm,1Fam,1Story,6,6,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,632.0,TA,TA,CBlock,TA,No,Rec,Unf,GasA,1,3,1,TA,7,Typ,1,RFn,2,488.0,TA,TA,Y,80.0,162000.0,2457.0,48,1,0.0
629,2241,50,RM,13710.0,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Fin,5,5,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,No,BLQ,Unf,GasA,1,4,1,TA,6,Typ,0,Unf,1,282.0,TA,TA,Y,289.0,152000.0,2468.0,57,1,0.0
630,71,60,FV,12552.0,Reg,Lvl,AllPub,Corner,Gtl,Somerst,Norm,Norm,1Fam,2Story,7,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,TA,No,GLQ,Unf,GasA,1,3,1,Gd,8,Typ,1,RFn,2,678.0,TA,TA,Y,0.0,254900.0,2938.0,6,2,136.0
631,1143,60,RL,14565.0,IR2,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,2Story,7,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,145.0,Gd,TA,PConc,TA,Av,GLQ,Unf,GasA,1,3,1,Gd,6,Typ,0,RFn,2,483.0,TA,TA,Y,144.0,189000.0,2489.0,14,2,74.0
633,1416,190,RL,10880.0,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,2fmCon,1Story,5,5,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,TA,No,ALQ,Unf,GasW,0,3,1,TA,5,Typ,0,Unf,1,240.0,TA,TA,Y,0.0,125000.0,2328.0,58,2,48.0
634,35,120,RL,2280.0,Reg,Lvl,AllPub,FR2,Gtl,NPkVill,Norm,Norm,Twnhs,1Story,7,6,Gable,CompShg,Plywood,Brk Cmn,None,0.0,TA,TA,CBlock,TA,No,Unf,Unf,GasA,1,2,1,TA,4,Typ,0,Unf,1,308.0,TA,TA,Y,0.0,120000.0,1672.0,35,1,30.0
638,2211,90,RH,6270.0,Reg,HLS,AllPub,Inside,Gtl,Crawfor,Norm,Norm,Duplex,2Story,5,6,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,TA,No,BLQ,Unf,GasA,0,4,2,TA,8,Typ,0,Unf,3,871.0,TA,TA,Y,0.0,145000.0,3003.0,58,2,0.0
639,1539,50,RL,15660.0,IR1,Lvl,AllPub,Corner,Gtl,Crawfor,Norm,Norm,1Fam,1.5Fin,7,9,Gable,CompShg,VinylSd,VinylSd,BrkFace,312.0,Gd,Gd,CBlock,TA,No,BLQ,Unf,GasA,1,3,1,Gd,8,Typ,2,Unf,2,431.0,TA,TA,Y,0.0,311500.0,2752.0,69,2,269.0
640,2420,120,RL,3087.0,Reg,Lvl,AllPub,Inside,Gtl,Blmngtn,Norm,Norm,TwnhsE,1Story,7,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,14.0,Gd,TA,PConc,TA,Av,GLQ,Unf,GasA,1,2,1,Gd,6,Typ,1,Fin,2,437.0,TA,TA,Y,100.0,210250.0,2584.0,0,3,16.0
641,2779,60,RL,13450.0,IR1,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,TA,No,GLQ,Unf,GasA,1,3,1,Gd,8,Typ,0,RFn,2,492.0,TA,TA,Y,146.0,200000.0,2777.0,4,3,91.0
643,658,70,RL,8146.0,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,2Story,4,8,Gable,CompShg,MetalSd,MetalSd,None,0.0,Gd,Gd,BrkTil,TA,No,Unf,Unf,GasA,1,2,1,TA,6,Typ,0,Unf,1,281.0,TA,TA,N,0.0,114000.0,1444.0,109,1,279.0
644,714,70,RM,9600.0,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,4,4,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,Gd,BrkTil,TA,No,Unf,Unf,GasA,1,3,1,Gd,7,Typ,0,Unf,2,720.0,TA,TA,N,0.0,87500.0,2187.0,99,2,160.0
646,538,20,RL,10141.0,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,1Story,8,5,Gable,Tar&Grv,VinylSd,VinylSd,BrkFace,264.0,Gd,TA,PConc,TA,Gd,BLQ,Rec,GasA,1,3,1,Gd,6,Typ,0,RFn,3,845.0,TA,TA,Y,210.0,203000.0,3024.0,5,2,36.0
647,546,20,RL,8529.0,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,1Story,7,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,TA,No,GLQ,Unf,GasA,1,3,1,Gd,6,Typ,1,RFn,2,527.0,TA,TA,Y,290.0,189000.0,2888.0,8,2,39.0
648,533,60,FV,8127.0,IR1,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,7,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,TA,No,GLQ,Unf,GasA,1,3,1,Gd,6,Typ,0,RFn,2,628.0,TA,TA,Y,0.0,209000.0,2465.0,6,3,45.0
649,718,70,RM,8400.0,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Artery,Norm,1Fam,2Story,6,7,Gable,CompShg,Stucco,BrkFace,None,0.0,TA,TA,BrkTil,Gd,Mn,Unf,Unf,GasA,1,3,1,Ex,8,Typ,0,Unf,1,357.0,TA,TA,Y,0.0,160000.0,2924.0,109,2,235.0
650,1830,20,RL,10751.0,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,RRAe,Norm,1Fam,1Story,5,5,Gable,CompShg,Plywood,Plywood,BrkFace,44.0,TA,TA,CBlock,TA,Gd,ALQ,Unf,GasA,1,2,1,TA,5,Typ,0,RFn,2,431.0,TA,TA,Y,136.0,129000.0,2074.0,33,2,47.0
651,2929,20,RL,10010.0,Reg,Lvl,AllPub,Inside,Mod,Mitchel,Norm,Norm,1Fam,1Story,5,5,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,Av,ALQ,LwQ,GasA,1,2,1,TA,6,Typ,1,RFn,2,418.0,TA,TA,Y,240.0,170000.0,2778.0,32,2,38.0
652,2207,30,RL,4280.0,Reg,Lvl,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,1Story,5,6,Gable,CompShg,WdShing,Stucco,None,0.0,TA,TA,PConc,TA,No,LwQ,Unf,GasA,0,2,1,Gd,4,Typ,1,Unf,1,352.0,Gd,TA,P,0.0,90350.0,1134.0,94,1,34.0
654,2787,20,RL,9800.0,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,7,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,TA,No,ALQ,Unf,GasA,1,3,1,TA,5,Typ,0,Unf,2,552.0,TA,TA,Y,256.0,149900.0,1788.0,34,2,0.0
655,1037,20,RL,7560.0,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,Hip,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,TA,No,Rec,ALQ,GasA,1,3,1,TA,5,Typ,0,Unf,2,576.0,TA,TA,Y,0.0,123000.0,1728.0,37,2,0.0
656,2659,70,RM,9600.0,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,4,2,Gable,CompShg,AsbShng,Stucco,None,0.0,TA,TA,BrkTil,Fa,No,Unf,Unf,GasW,0,4,2,TA,8,Min2,0,Unf,3,779.0,Fa,Fa,N,0.0,87000.0,2869.0,106,3,90.0
657,1567,80,RL,9880.0,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,SLvl,6,6,Gable,CompShg,Plywood,Plywood,None,0.0,TA,TA,CBlock,TA,Av,ALQ,Unf,GasA,1,3,1,TA,6,Typ,1,Fin,1,358.0,TA,TA,Y,203.0,171000.0,2214.0,31,2,0.0
658,1225,50,RL,9600.0,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1.5Fin,6,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,TA,No,BLQ,Unf,GasA,1,3,1,TA,6,Typ,0,Unf,1,288.0,TA,TA,Y,0.0,119000.0,2284.0,58,1,96.0
659,685,20,RL,7931.0,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,Hip,CompShg,BrkFace,Plywood,None,0.0,TA,TA,CBlock,TA,No,BLQ,Unf,GasA,1,3,1,TA,6,Typ,0,Unf,1,672.0,TA,TA,Y,0.0,132500.0,2296.0,50,2,0.0
660,1358,70,RM,5100.0,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,8,7,Hip,CompShg,Stucco,Wd Shng,None,0.0,TA,Gd,PConc,TA,No,Unf,Unf,GasA,1,3,1,Gd,7,Typ,1,Unf,1,228.0,TA,TA,Y,192.0,161000.0,2254.0,83,1,63.0
661,1461,60,RL,9720.0,IR1,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,2Story,9,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,134.0,Gd,TA,PConc,TA,Mn,GLQ,Unf,GasA,1,3,1,Gd,7,Typ,1,Fin,3,725.0,TA,TA,Y,168.0,274000.0,3304.0,7,3,116.0
662,221,20,RL,8521.0,Reg,Lvl,AllPub,FR2,Gtl,Sawyer,Feedr,Norm,1Fam,1Story,5,5,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,No,ALQ,Unf,GasA,1,3,1,TA,5,Typ,1,Unf,1,336.0,TA,TA,Y,0.0,125000.0,1824.0,43,1,0.0
664,2504,20,RL,12461.0,Reg,Lvl,AllPub,Corner,Gtl,NoRidge,Norm,Norm,1Fam,1Story,8,5,Gable,CompShg,ImStucc,ImStucc,None,0.0,Gd,TA,PConc,TA,No,GLQ,Unf,GasA,1,2,1,Gd,5,Typ,1,RFn,3,757.0,TA,TA,Y,0.0,262000.0,3248.0,12,3,306.0
665,855,20,RL,6950.0,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,7,Gable,CompShg,HdBoard,HdBoard,BrkFace,40.0,TA,TA,CBlock,TA,No,ALQ,BLQ,GasA,1,2,1,TA,5,Typ,0,Unf,2,444.0,TA,TA,Y,0.0,134900.0,1828.0,30,2,0.0
666,2258,20,RL,16905.0,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,5,6,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,TA,Gd,BLQ,Unf,GasA,1,2,1,TA,5,Typ,2,RFn,1,308.0,TA,TA,P,0.0,170000.0,2678.0,48,2,104.0
667,2205,70,RL,7155.0,Reg,Lvl,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,2Story,6,8,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,BrkTil,TA,No,Unf,Unf,GasA,1,3,1,TA,6,Typ,1,Unf,1,225.0,TA,TA,N,0.0,135000.0,2147.0,81,1,116.0
668,1158,60,RL,9205.0,IR1,Lvl,AllPub,Inside,Gtl,NoRidge,Norm,Norm,1Fam,2Story,6,5,Hip,CompShg,HdBoard,HdBoard,BrkFace,304.0,Gd,TA,PConc,TA,No,ALQ,Unf,GasA,1,4,1,Gd,9,Typ,2,RFn,2,473.0,TA,TA,Y,237.0,290000.0,3613.0,18,3,447.0
